"index","PT","AU","BA","BE","GP","AF","BF","CA","TI","SO","SE","BS","LA","DT","CT","CY","CL","SP","HO","DE","ID","AB","C1","RP","EM","RI","OI","FU","FX","CR","NR","TC","Z9","U1","U2","PU","PI","PA","SN","EI","BN","J9","JI","PD","PY","VL","IS","PN","SU","SI","MA","BP","EP","AR","DI","D2","PG","WC","SC","GA","UT","PM","X","year","X.1","X.2","X.3","X.4","X.5","X.6","X.7","X.8","X.9","X.10","X.11","X.12","X.13","X.14","X.15","X.16","X.17","X.18","X.19","X.20","X.21","X.22","X.23","X.24","X.25","X.26"
821,"J","Orr, WS; Denbo, JW; Saab, KR; Myers, AL; Ng, CY; Zhou, JF; Morton, CL; Pfeffer, LM; Davidoff, AM",NA,"",NA,"Orr, Wayne S.; Denbo, Jason W.; Saab, Karim R.; Myers, Adriaime L.; Ng, Catherine Y.; Zhou, Junfang; Morton, Christopher L.; Pfeffer, Lawrence M.; Davidoff, Andrew M.",NA,"","Liposome-encapsulated curcumin suppresses neuroblastoma growth through nuclear factor-kappa B inhibition (Retraction of vol 151, pg 736, 2012)","SURGERY","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0039-6060","","",NA,NA,"FEB",2016,"159","2","",NA,"",NA,"674","674","","10.1016/j.surg.2015.10.026","",NA,"Surgery","Surgery",NA,"WOS:000367869400037",NA,NA,2012,"Orr, WS"," Denbo, JW"," Saab, KR"," Myers, AL"," Ng, CY"," Zhou, JF"," Morton, CL"," Pfeffer, LM"," Davidoff, AM","","","","","","","","","","","","","","","","",""
822,"J","Pak, CS; Lee, J; Lee, H; Jeong, J; Kim, EH; Jeong, J; Choi, H; Kim, B; Oh, S; Kim, I; Heo, CY",NA,"",NA,"Pak, C. S.; Lee, J.; Lee, H.; Jeong, J.; Kim, E. H.; Jeong, J.; Choi, H.; Kim, B.; Oh, S.; Kim, I; Heo, C. Y.",NA,"","A Phase III, Randomized, Double-Blind, Matched-Pairs, Active-Controlled Clinical Trial and Preclinical Animal Study to Compare the Durability, Efficacy and Safety between Polynucleotide Filler and Hyaluronic Acid Filler in the Correction of Crow's Feet: A New Concept of Regenerative Filler (Retraction of vol 29, pg S201, 2014)","JOURNAL OF KOREAN MEDICAL SCIENCE","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1011-8934","1598-6357","",NA,NA,"FEB",2016,"31","2","",NA,"",NA,"330","330","","10.3346/jkms.2016.31.2.330","",NA,"Medicine, General & Internal","General & Internal Medicine",NA,"WOS:000370241200028",NA,NA,2014,"Pak, CS"," Lee, J"," Lee, H"," Jeong, J"," Kim, EH"," Jeong, J"," Choi, H"," Kim, B"," Oh, S"," Kim, I"," Heo, CY","","","","","","","","","","","","","","",""
823,"J","Rajendran, PS; Raj, MXJ",NA,"",NA,"Rajendran, P. S.; Raj, M. Xavier James",NA,"","Analytical orbit predictions for low and high eccentricity orbits using uniformly regular KS canonical elements in an oblate atmosphere (Retraction of vol 110, pg 214, 2015)","ACTA ASTRONAUTICA","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0094-5765","1879-2030","",NA,NA,"FEB-MAR",2016,"119","","",NA,"",NA,"252","252","","10.1016/j.actaastro.2015.12.008","",NA,"Engineering, Aerospace","Engineering",NA,"WOS:000369211600023",NA,NA,2015,"Rajendran, PS"," Raj, MXJ","","","","","","","","","","","","","","","","","","","","","","","",""
824,"J","Thapar, R; Choudhry, S; Sinha, A; Bali, R; Shukla, D",NA,"",NA,"Thapar, Raveena; Choudhry, Swati; Sinha, Anju; Bali, Ruchita; Shukla, Deepika",NA,"","Pink tooth phenomenon: An enigma? (Retraction of vol 20, pg 912, 2013)","JOURNAL OF FORENSIC AND LEGAL MEDICINE","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1752-928X","1532-2009","",NA,NA,"FEB",2016,"38","","",NA,"",NA,"122","122","","10.1016/j.jflm.2015.12.003","",NA,"Medicine, Legal","Legal Medicine",NA,"WOS:000369613000025",NA,NA,2013,"Thapar, R"," Choudhry, S"," Sinha, A"," Bali, R"," Shukla, D","","","","","","","","","","","","","","","","","","","","",""
825,"J","Xiao, H; Zhang, Q; Shen, J; Bindokas, V; Xing, HR",NA,"",NA,"Xiao, H.; Zhang, Q.; Shen, J.; Bindokas, V; Xing, H. R.",NA,"","Pharmacologic Inactivation of Kinase Suppressor of Ras1 Sensitizes Epidermal Growth Factor Receptor and Oncogenic Ras-Dependent Tumors to Ionizing Radiation Treatment (Retraction of vol 9, pg 2724, 2010)","MOLECULAR CANCER THERAPEUTICS","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1535-7163","1538-8514","",NA,NA,"FEB",2016,"15","2","",NA,"",NA,"343","344","","10.1158/1535-7163.MCT-15-0983","",NA,"Oncology","Oncology",NA,"WOS:000372167300012",NA,NA,2010,"Xiao, H"," Zhang, Q"," Shen, J"," Bindokas, V"," Xing, HR","","","","","","","","","","","","","","","","","","","","",""
826,"J","Yang, ZH; Zheng, R; Gao, Y; Zhang, Q; Zhang, H",NA,"",NA,"Yang, Z. H.; Zheng, R.; Gao, Y.; Zhang, Q.; Zhang, H.",NA,"","Abnormal gene expression and gene fusion in lung adenocarcinoma with high-throughput RNA sequencing (Retraction of vol 21, pg 74, 2014)","CANCER GENE THERAPY","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0929-1903","1476-5500","",NA,NA,"FEB-MAR",2016,"23","03-Feb","",NA,"",NA,"72","72","","10.1038/cgt.2015.69","",NA,"Biotechnology & Applied Microbiology; Oncology; Genetics & Heredity; Medicine, Research & Experimental","Biotechnology & Applied Microbiology; Oncology; Genetics & Heredity; Research & Experimental Medicine",NA,"WOS:000373740200006",NA,NA,2014,"Yang, ZH"," Zheng, R"," Gao, Y"," Zhang, Q"," Zhang, H","","","","","","","","","","","","","","","","","","","","",""
827,"J","Zhao, H; Cai, W; Su, S; Zhi, D; Lu, J; Liu, S",NA,"",NA,"Zhao, H.; Cai, W.; Su, S.; Zhi, D.; Lu, J.; Liu, S.",NA,"","Screening genes crucial for pediatric pilocytic astrocytoma using weighted gene coexpression network analysis combined with methylation data analysis (Retraction of vol 21, pg 448, 2014)","CANCER GENE THERAPY","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0929-1903","1476-5500","",NA,NA,"FEB-MAR",2016,"23","03-Feb","",NA,"",NA,"72","72","","10.1038/cgt.2015.70","",NA,"Biotechnology & Applied Microbiology; Oncology; Genetics & Heredity; Medicine, Research & Experimental","Biotechnology & Applied Microbiology; Oncology; Genetics & Heredity; Research & Experimental Medicine",NA,"WOS:000373740200007",NA,NA,2014,"Zhao, H"," Cai, W"," Su, S"," Zhi, D"," Lu, J"," Liu, S","","","","","","","","","","","","","","","","","","","",""
830,"J","Silva, M; Martins, D; Tavares, I; Morgado, C",NA,"",NA,"Silva, M.; Martins, D.; Tavares, I.; Morgado, C.",NA,"","INHIBITION OF SPINAL 5-HT3R REVERTED DIABETES-INDUCED MECHANICAL HYPERSENSITIVITY IN A GABA(A)R-MEDIATED NEUROTRANSMISSION-DEPENDENT MANNER (Retraction of vol 304, pg 228, 2015)","NEUROSCIENCE","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0306-4522","1873-7544","",NA,NA,"28-Jan",2016,"313","","",NA,"",NA,"236","236","","10.1016/j.neuroscience.2015.12.002","",NA,"Neurosciences","Neurosciences & Neurology",NA,"WOS:000366856700021",NA,NA,2015,"Silva, M"," Martins, D"," Tavares, I"," Morgado, C","","","","","","","","","","","","","","","","","","","","","",""
832,"J","Fang, QX",NA,"",NA,"Fang, Qingxiang",NA,"","Synchronization and state feedback control of linearly coupled singular systems (Retraction of vol 232, pg 381, 2014)","APPLIED MATHEMATICS AND COMPUTATION","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0096-3003","1873-5649","",NA,NA,"15-Jan",2016,"273","","",NA,"",NA,"1276","1276","","10.1016/j.amc.2015.07.036","",NA,"Mathematics, Applied","Mathematics",NA,"WOS:000365613400111",NA,NA,2014,"Fang, QX","","","","","","","","","","","","","","","","","","","","","","","","",""
835,"J","Shuai, L; Zhou, YH; Bi, MS; Ren, JJ; Cai, Z",NA,"",NA,"Shuai, Lu; Zhou, Yihui; Bi, Mingshu; Ren, Jingjie; Cai, Zhen",NA,"","An integrated optimization model and application of MEE-TVC desalination system (Retraction of vol 371, pg 1, 2015)","DESALINATION","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0011-9164","1873-4464","",NA,NA,"15-Jan",2016,"378","","",NA,"",NA,"117","117","","10.1016/j.desal.2015.10.002","",NA,"Engineering, Chemical; Water Resources","Engineering; Water Resources",NA,"WOS:000365058300014",NA,NA,2015,"Shuai, L"," Zhou, YH"," Bi, MS"," Ren, JJ"," Cai, Z","","","","","","","","","","","","","","","","","","","","",""
836,"J","Lai, YY; Li, Y; Lang, J; Tong, X; Zhang, L; Fang, J",NA,"",NA,"Lai, Y. Y.; Li, Y.; Lang, J.; Tong, X.; Zhang, L.; Fang, J.",NA,"","Metagenomic Human Repiratory Air in a Hospital Environment (Retraction of vol 10, e0139044, 2015)","PLOS ONE","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1932-6203","","",NA,NA,"13-Jan",2016,"11","1","",NA,"",NA,"","","e0147243","10.1371/journal.pone.0147243","",NA,"Multidisciplinary Sciences","Science & Technology - Other Topics",NA,"WOS:000368033100074",NA,NA,2015,"Lai, YY"," Li, Y"," Lang, J"," Tong, X"," Zhang, L"," Fang, J","","","","","","","","","","","","","","","","","","","",""
837,"J","Babaei, A; Mashhadi, MM; Jafarzadeh, H",NA,"",NA,"Babaei, A.; Mashhadi, M. M.; Jafarzadeh, H.",NA,"","Tube cyclic extrusion-compression (TCEC) as a novel severe plastic deformation method for cylindrical tubes (Retraction of vol 598, pg 1, 2014)","MATERIALS SCIENCE AND ENGINEERING A-STRUCTURAL MATERIALS PROPERTIES MICROSTRUCTURE AND PROCESSING","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0921-5093","1873-4936","",NA,NA,"10-Jan",2016,"651","","",NA,"",NA,"1031","1031","","10.1016/j.msea.2015.11.094","",NA,"Nanoscience & Nanotechnology; Materials Science, Multidisciplinary; Metallurgy & Metallurgical Engineering","Science & Technology - Other Topics; Materials Science; Metallurgy & Metallurgical Engineering",NA,"WOS:000367486800117",NA,NA,2014,"Babaei, A"," Mashhadi, MM"," Jafarzadeh, H","","","","","","","","","","","","","","","","","","","","","","",""
841,"J","Al-Salem, SM",NA,"",NA,"Al-Salem, S. M.",NA,"","Carbon dioxide (CO2) estimation from Kuwait's petroleum refineries (Retraction of vol 95, pg 38, 2015)","PROCESS SAFETY AND ENVIRONMENTAL PROTECTION","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0957-5820","1744-3598","",NA,NA,"JAN",2016,"99","","",NA,"",NA,"236","236","","10.1016/j.psep.2015.12.003","",NA,"Engineering, Environmental; Engineering, Chemical","Engineering",NA,"WOS:000370104700024",NA,NA,2015,"Al-Salem, SM","","","","","","","","","","","","","","","","","","","","","","","","",""
842,"J","Alizadeh-Choobari, O",NA,"",NA,"Alizadeh-Choobari, O.",NA,"","Large-eddy simulation of the hurricane boundary layer: Evaluation of the planetary boundary-layer parametrizations (Retraction of vol 154, pg 73, 2015)","ATMOSPHERIC RESEARCH","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0169-8095","1873-2895","",NA,NA,"01-Jan",2016,"167","","",NA,"",NA,"314","314","","10.1016/j.atmosres.2015.07.001","",NA,"Meteorology & Atmospheric Sciences","Meteorology & Atmospheric Sciences",NA,"WOS:000362609300026",NA,NA,2015,"Alizadeh-Choobari, O","","","","","","","","","","","","","","","","","","","","","","","","",""
843,"J","Amouch, M; Benharrat, M; Messirdi, B",NA,"",NA,"Amouch, M.; Benharrat, M.; Messirdi, B.",NA,"","Spectral mapping theorem for generalized Kato spectrum (Retraction of vol 423, pg 1, 2015)","JOURNAL OF MATHEMATICAL ANALYSIS AND APPLICATIONS","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0022-247X","1096-0813","",NA,NA,"01-Jan",2016,"433","1","",NA,"",NA,"747","747","","10.1016/j.jmaa.2015.07.067","",NA,"Mathematics, Applied; Mathematics","Mathematics",NA,"WOS:000362147300042",NA,NA,2015,"Amouch, M"," Benharrat, M"," Messirdi, B","","","","","","","","","","","","","","","","","","","","","","",""
845,"J","Benghanem, M",NA,"",NA,"Benghanem, M.",NA,"","A low cost wireless data acquisition system for weather station monitoring (Retraction of vol 35, pg 862, 2010)","RENEWABLE ENERGY","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0960-1481","","",NA,NA,"JAN",2016,"85","","",NA,"",NA,"1425","1425","","10.1016/j.renene.2015.07.044","",NA,"GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY; Energy & Fuels","Science & Technology - Other Topics; Energy & Fuels",NA,"WOS:000363344800133",NA,NA,2010,"Benghanem, M","","","","","","","","","","","","","","","","","","","","","","","","",""
847,"J","Briones, TL; Woods, J; Wadowska, M",NA,"",NA,"Briones, Teresita L.; Woods, Julie; Wadowska, Magdalena",NA,"","Involvement of insulin-like growth factor-1 in chemotherapy-related cognitive impairment (Retraction of vol 279, pg 112, 2015)","BEHAVIOURAL BRAIN RESEARCH","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0166-4328","1872-7549","",NA,NA,"01-Jan",2016,"296","","",NA,"",NA,"468","468","","10.1016/j.bbr.2015.10.042","",NA,"Behavioral Sciences; Neurosciences","Behavioral Sciences; Neurosciences & Neurology",NA,"WOS:000366079100057",NA,NA,2015,"Briones, TL"," Woods, J"," Wadowska, M","","","","","","","","","","","","","","","","","","","","","","",""
848,"J","Butaud, JF; Raharivelomanana, P; Bianchini, JP; Baron, V",NA,"",NA,"Butaud, Jean-Francois; Raharivelomanana, Phila; Bianchini, Jean-Pierre; Baron, Vincent",NA,"","A New Chemotype of Sandalwood (Santalum insulare Bertero ex A. DC.) from Marquesas Islands (Retraction of vol 15, pg 323, 2003)","JOURNAL OF ESSENTIAL OIL RESEARCH","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1041-2905","2163-8152","",NA,NA,"",2016,"28","5","",NA,"",NA,"465","465","","10.1080/10412905.2016.1182340","",NA,"Chemistry, Applied; Food Science & Technology","Chemistry; Food Science & Technology",NA,"WOS:000380795800012",NA,NA,2003,"Butaud, JF"," Raharivelomanana, P"," Bianchini, JP"," Baron, V","","","","","","","","","","","","","","","","","","","","","",""
849,"J","Casan-Pitarch, R",NA,"",NA,"Casan-Pitarch, R.",NA,"","Project work in CLIL: A bibliographical review (Retraction of vol 8, pg 212, 2015)","LATIN AMERICAN JOURNAL OF CONTENT & LANGUAGE INTEGRATED-LACLIL","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2011-6721","2322-9721","",NA,NA,"JAN-JUN",2016,"9","1","",NA,"",NA,"16","16","","","",NA,"Education & Educational Research","Education & Educational Research",NA,"WOS:000379611000002",NA,NA,2015,"Casan-Pitarch, R","","","","","","","","","","","","","","","","","","","","","","","","",""
850,"J","Cheng, J; Liu, B; Yu, H; Fu, Q; Li, F; Zhao, Y",NA,"",NA,"Cheng, J.; Liu, B.; Yu, H.; Fu, Q.; Li, F.; Zhao, Y.",NA,"","Effect of early external X-ray radiation on arterial restenosis post percutaneous transluminal angioplasty (Retraction of vol 8, pg 14944, 2015)","INTERNATIONAL JOURNAL OF CLINICAL AND EXPERIMENTAL MEDICINE","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1940-5901","","",NA,NA,"",2016,"9","1","",NA,"",NA,"466","466","","","",NA,"Medicine, Research & Experimental","Research & Experimental Medicine",NA,"WOS:000371356600066",NA,NA,2015,"Cheng, J"," Liu, B"," Yu, H"," Fu, Q"," Li, F"," Zhao, Y","","","","","","","","","","","","","","","","","","","",""
851,"J","Chernecky, CC; Macklin, D; Jarvis, WR; Joshua, T",NA,"",NA,"Chernecky, Cynthia C.; Macklin, Denise; Jarvis, William R.; Joshua, Thomas",NA,"","Comparison of Central Line-Associated Bloodstream Infection Rates when Changing to a Zero Fluid Displacement Intravenous Needleless Connector in Acute Care Settings (Retraction of vol 42, pg 200, 2014)","AMERICAN JOURNAL OF INFECTION CONTROL","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0196-6553","1527-3296","",NA,NA,"01-Jan",2016,"44","1","",NA,"",NA,"","","","","",NA,"Public, Environmental & Occupational Health; Infectious Diseases","Public, Environmental & Occupational Health; Infectious Diseases",NA,"WOS:000367787600009",NA,NA,2014,"Chernecky, CC"," Macklin, D"," Jarvis, WR"," Joshua, T","","","","","","","","","","","","","","","","","","","","","",""
852,"J","Dekhil, AB; Hannachi, Y; Ghorbel, A; Boubaker, T",NA,"",NA,"Dekhil, Abdelbasset B.; Hannachi, Yasser; Ghorbel, Ali; Boubaker, Taoufik",NA,"","Removal of lead and cadmium ions from aqueous solutions using the macroalga Caulerpa racemosa (Retraction of vol 27, pg 221, 2011)","CHEMISTRY AND ECOLOGY","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0275-7540","1029-0370","",NA,NA,"",2016,"32","8","",NA,"",NA,"801","801","","10.1080/02757540.2016.1189128","",NA,"Biochemistry & Molecular Biology; Ecology; Environmental Sciences","Biochemistry & Molecular Biology; Environmental Sciences & Ecology",NA,"WOS:000381034000008",NA,NA,2011,"Dekhil, AB"," Hannachi, Y"," Ghorbel, A"," Boubaker, T","","","","","","","","","","","","","","","","","","","","","",""
854,"J","Eni, SE; Rowland, M; Best, MD",NA,"",NA,"Eni, Sammy Eni; Rowland, Meng; Best, Michael D.",NA,"","Synthesis of diacylglycerol analogs bearing photoaffinity tags for labelling mammalian diacylglycerol kinase (Retraction of vol 5, pg 25457, 2015)","RSC ADVANCES","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2046-2069","","",NA,NA,"",2016,"6","67","",NA,"",NA,"62768","62768","","10.1039/c6ra90056a","",NA,"Chemistry, Multidisciplinary","Chemistry",NA,"WOS:000379678200088",NA,NA,2015,"Eni, SE"," Rowland, M"," Best, MD","","","","","","","","","","","","","","","","","","","","","","",""
856,"J","Fu, WY; Wang, XZ; Yang, WL; Takeda, H; Hu, S; Lou, ZY; Zhao, J; Bethune, AN; Guo, YJ",NA,"",NA,"Fu, Wenyan; Wang, Xiaoze; Yang, Weili; Takeda, Hiroaki; Hu, Shi; Lou, Zhiyong; Zhao, Jian; Bethune, Augus N.; Guo, Yajun",NA,"","Structure-based development and optimization of therapy antibody drugs against TNF alpha (Retraction of vol 47, pg 1259, 2015)","AMINO ACIDS","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0939-4451","1438-2199","",NA,NA,"JAN",2016,"48","1","",NA,"",NA,"319","319","","10.1007/s00726-015-2147-2","",NA,"Biochemistry & Molecular Biology","Biochemistry & Molecular Biology",NA,"WOS:000369306900028",26650200,NA,2015,"Fu, WY"," Wang, XZ"," Yang, WL"," Takeda, H"," Hu, S"," Lou, ZY"," Zhao, J"," Bethune, AN"," Guo, YJ","","","","","","","","","","","","","","","","",""
859,"J","Go, H; Ryuk, JA; Lee, HW",NA,"",NA,"Go, H.; Ryuk, J. A.; Lee, H. W.",NA,"","Sagunja-Tang Improves Lipid Related Disease in a Postmenopausal Rat Model and HepG2 Cells (Retraction of vol 2015, 321407, 2015)","EVIDENCE-BASED COMPLEMENTARY AND ALTERNATIVE MEDICINE","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1741-427X","1741-4288","",NA,NA,"",2016,"","","",NA,"",NA,"","","9676590","10.1155/2016/9676590","",NA,"Integrative & Complementary Medicine","Integrative & Complementary Medicine",NA,"WOS:000374024000001",NA,NA,2015,"Go, H"," Ryuk, JA"," Lee, HW","","","","","","","","","","","","","","","","","","","","","","",""
860,"J","Gu, J; Sun, R; Shen, S; Yu, Z",NA,"",NA,"Gu, J.; Sun, R.; Shen, S.; Yu, Z.",NA,"","The influence of TLR4 agonist lipopolysaccharides on hepatocellular carcinoma cells and the feasibility of its application in treating liver cancer (Retraction of vol 8, pg 2215, 2015)","ONCOTARGETS AND THERAPY","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1178-6930","","",NA,NA,"",2016,"9","","",NA,"",NA,"615","615","","10.2147/OTT.S100941","",NA,"Biotechnology & Applied Microbiology; Oncology","Biotechnology & Applied Microbiology; Oncology",NA,"WOS:000369405300001",NA,NA,2015,"Gu, J"," Sun, R"," Shen, S"," Yu, Z","","","","","","","","","","","","","","","","","","","","","",""
861,"J","Hagiwara, S; Iwasaka, H; Hasegawa, A; Hidaka, S; Uno, A; Kaori, U; Uchida, T; Noguchi, T",NA,"",NA,"Hagiwara, Satoshi; Iwasaka, Hideo; Hasegawa, Akira; Hidaka, Seigo; Uno, Aya; Kaori, Ueo; Uchida, Tomohisa; Noguchi, Takayuki",NA,"","Continuous Hemodiafiltration Therapy Ameliorates LPS-Induced Systemic Inflammation in a Rat Model (Retraction of vol 171, pg 791, 2011)","JOURNAL OF SURGICAL RESEARCH","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0022-4804","1095-8673","",NA,NA,"JAN",2016,"200","1","",NA,"",NA,"408","408","","","",NA,"Surgery","Surgery",NA,"WOS:000366840700054",NA,NA,2011,"Hagiwara, S"," Iwasaka, H"," Hasegawa, A"," Hidaka, S"," Uno, A"," Kaori, U"," Uchida, T"," Noguchi, T","","","","","","","","","","","","","","","","","",""
862,"J","Hamilton, C",NA,"",NA,"Hamilton, Carol",NA,"","Growth Attenuation and Young People with Profound Disabilities - Why We Need To Talk about Charley (Retraction of vol 30, pg 1055, 2015)","DISABILITY & SOCIETY","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0968-7599","1360-0508","",NA,NA,"",2016,"31","2","",NA,"",NA,"304","304","","10.1080/09687599.2016.1155305","",NA,"Rehabilitation; Social Sciences, Interdisciplinary","Rehabilitation; Social Sciences - Other Topics",NA,"WOS:000374994300018",NA,NA,2015,"Hamilton, C","","","","","","","","","","","","","","","","","","","","","","","","",""
863,"J","Hazani, A; Ibrahim, M; Arif, I; Shehata, A; El-Gaaly, G; Daoud, M; Fouad, D; Rizwana, H; Moubayed, N",NA,"",NA,"Hazani, A.; Ibrahim, M.; Arif, I; Shehata, A.; El-Gaaly, G.; Daoud, M.; Fouad, D.; Rizwana, H.; Moubayed, N.",NA,"","Ecotoxicity of Ag-nanoparticles on two microalgae, Chlorella vulgaris and Dunaliella tertiolecta (Retraction of vol 65, pg 1447, 2013)","ARCHIVES OF BIOLOGICAL SCIENCES","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0354-4664","1821-4339","",NA,NA,"",2016,"68","1","",NA,"",NA,"243","243","","10.2298/ABS151214137E","",NA,"Biology","Life Sciences & Biomedicine - Other Topics",NA,"WOS:000377883400027",NA,NA,2013,"Hazani, A"," Ibrahim, M"," Arif, I"," Shehata, A"," El-Gaaly, G"," Daoud, M"," Fouad, D"," Rizwana, H"," Moubayed, N","","","","","","","","","","","","","","","","",""
864,"J","Hunton, JE; Rose, JM",NA,"",NA,"Hunton, James E.; Rose, Jacob M.",NA,"","Will corporate directors engage in bias arbitrage to curry favor with shareholders? (Retraction of vol 31, pg 432, 2012)","JOURNAL OF ACCOUNTING AND PUBLIC POLICY","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0278-4254","1873-2070","",NA,NA,"JAN-FEB",2016,"35","1","",NA,"",NA,"107","107","","10.1016/j.jaccpubpol.2015.12.002","",NA,"Business, Finance; Public Administration","Business & Economics; Public Administration",NA,"WOS:000372767600007",NA,NA,2012,"Hunton, JE"," Rose, JM","","","","","","","","","","","","","","","","","","","","","","","",""
865,"J","Jung, IS; Kim, HJ; Jung, WY; Kim, CW",NA,"",NA,"Jung, In-Soo; Kim, Hyun-Jung; Jung, Won-Yong; Kim, Chan-Wha",NA,"","Hydrogen Peroxide as an Effective Disinfectant for Pasteurella multocida. (Retraction of vol 55, pg 1152, 2014)","YONSEI MEDICAL JOURNAL","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0513-5796","1976-2437","",NA,NA,"01-Jan",2016,"57","1","",NA,"",NA,"274","274","","10.3349/ymj.2016.57.1.274","",NA,"Medicine, General & Internal","General & Internal Medicine",NA,"WOS:000367632100039",NA,NA,2014,"Jung, IS"," Kim, HJ"," Jung, WY"," Kim, CW","","","","","","","","","","","","","","","","","","","","","",""
